Adverse Event,PK Metric,AE+ (N),AE- (N),AE+ Median (IQR),AE- Median (IQR),p-value,Sig
Secondary Malignancy (all grade),Cavg_72hr,1,28,0.0887 (0.0887-0.0887),0.1141 (0.0913-0.1491),NA,
Secondary Malignancy (all grade),Cmax_120hr,1,28,0.7366 (0.7366-0.7366),0.8046 (0.6378-1.0300),NA,
Secondary Malignancy (all grade),Cavg_120hr,1,28,0.2490 (0.2490-0.2490),0.2960 (0.2037-0.4113),NA,
Secondary Malignancy (all grade),Cmax_dose1,1,28,0.1404 (0.1404-0.1404),0.1372 (0.1214-0.1803),NA,
Secondary Malignancy (all grade),Cavg_dose1,1,28,0.0887 (0.0887-0.0887),0.0874 (0.0688-0.1090),NA,
Secondary Malignancy (all grade),Cmax_dose3,1,26,5.2622 (5.2622-5.2622),5.6769 (4.8510-6.9295),NA,
Secondary Malignancy (all grade),Cavg_dose3,1,26,4.1213 (4.1213-4.1213),4.4835 (3.7992-5.4011),NA,
Psychiatric Dysfunction (all grade),Cmax_72hr,27,2,0.1875 (0.1454-0.4562),0.4559 (0.4301-0.4817),0.31527093596059114,
Psychiatric Dysfunction (all grade),Cavg_72hr,27,2,0.1094 (0.0886-0.1394),0.1384 (0.1311-0.1458),0.31527093596059114,
Psychiatric Dysfunction (all grade),Cmax_120hr,27,2,0.7750 (0.6351-1.0368),0.8156 (0.7404-0.8907),0.8965517241379313,
Psychiatric Dysfunction (all grade),Cavg_120hr,27,2,0.2938 (0.1996-0.4150),0.3481 (0.3225-0.3736),0.5960591133004927,
Psychiatric Dysfunction (all grade),Cmax_dose1,27,2,0.1404 (0.1225-0.1827),0.1050 (0.0975-0.1126),0.09852216748768473,
Psychiatric Dysfunction (all grade),Cavg_dose1,27,2,0.0885 (0.0750-0.1091),0.0607 (0.0575-0.0639),0.07881773399014778,
Psychiatric Dysfunction (all grade),Cmax_dose3,25,2,5.3453 (4.8720-6.9435),5.2125 (4.5824-5.8427),0.46153846153846156,
Psychiatric Dysfunction (all grade),Cavg_dose3,25,2,4.3300 (3.8236-5.4403),4.0409 (3.5954-4.4865),0.5128205128205129,
