Adverse Event,PK Metric,AE+ (N),AE- (N),AE+ Median (IQR),AE- Median (IQR),p-value,Sig
Liver Enzyme Elevation (all grade),Cavg_dose3,3,24,"4.330 (4.244, 4.885)","4.379 (3.752, 5.358)",0.689,
Creatinine Elevation (all grade),Cmax_72hr,1,28,"0.153 (0.153, 0.153)","0.195 (0.148, 0.488)",N/A,
Creatinine Elevation (all grade),Cavg_72hr,1,28,"0.092 (0.092, 0.092)","0.114 (0.089, 0.149)",N/A,
Creatinine Elevation (all grade),Cmax_120hr,1,28,"0.549 (0.549, 0.549)","0.805 (0.642, 1.030)",N/A,
Creatinine Elevation (all grade),Cavg_120hr,1,28,"0.162 (0.162, 0.162)","0.296 (0.211, 0.411)",N/A,
Creatinine Elevation (all grade),Cmax_dose1,1,28,"0.174 (0.174, 0.174)","0.137 (0.121, 0.180)",N/A,
Creatinine Elevation (all grade),Cavg_dose1,1,28,"0.110 (0.110, 0.110)","0.087 (0.069, 0.106)",N/A,
Creatinine Elevation (all grade),Cmax_dose3,1,26,"6.273 (6.273, 6.273)","5.309 (4.851, 6.929)",N/A,
Creatinine Elevation (all grade),Cavg_dose3,1,26,"4.932 (4.932, 4.932)","4.244 (3.799, 5.401)",N/A,
Secondary Malignancy (all grade),Cmax_72hr,1,28,"0.140 (0.140, 0.140)","0.195 (0.152, 0.488)",N/A,
Secondary Malignancy (all grade),Cavg_72hr,1,28,"0.089 (0.089, 0.089)","0.114 (0.091, 0.149)",N/A,
Secondary Malignancy (all grade),Cmax_120hr,1,28,"0.737 (0.737, 0.737)","0.805 (0.638, 1.030)",N/A,
Secondary Malignancy (all grade),Cavg_120hr,1,28,"0.249 (0.249, 0.249)","0.296 (0.204, 0.411)",N/A,
Secondary Malignancy (all grade),Cmax_dose1,1,28,"0.140 (0.140, 0.140)","0.137 (0.121, 0.180)",N/A,
Secondary Malignancy (all grade),Cavg_dose1,1,28,"0.089 (0.089, 0.089)","0.087 (0.069, 0.109)",N/A,
Secondary Malignancy (all grade),Cmax_dose3,1,26,"5.262 (5.262, 5.262)","5.677 (4.851, 6.929)",N/A,
Secondary Malignancy (all grade),Cavg_dose3,1,26,"4.121 (4.121, 4.121)","4.484 (3.799, 5.401)",N/A,
Psychiatric Dysfunction (all grade),Cmax_72hr,27,2,"0.187 (0.145, 0.456)","0.456 (0.430, 0.482)",0.315,
Psychiatric Dysfunction (all grade),Cavg_72hr,27,2,"0.109 (0.089, 0.139)","0.138 (0.131, 0.146)",0.315,
Psychiatric Dysfunction (all grade),Cmax_120hr,27,2,"0.775 (0.635, 1.037)","0.816 (0.740, 0.891)",0.897,
Psychiatric Dysfunction (all grade),Cavg_120hr,27,2,"0.294 (0.200, 0.415)","0.348 (0.323, 0.374)",0.596,
Psychiatric Dysfunction (all grade),Cmax_dose1,27,2,"0.140 (0.123, 0.183)","0.105 (0.098, 0.113)",0.099,
Psychiatric Dysfunction (all grade),Cavg_dose1,27,2,"0.089 (0.075, 0.109)","0.061 (0.058, 0.064)",0.079,
Psychiatric Dysfunction (all grade),Cmax_dose3,25,2,"5.345 (4.872, 6.944)","5.213 (4.582, 5.843)",0.462,
Psychiatric Dysfunction (all grade),Cavg_dose3,25,2,"4.330 (3.824, 5.440)","4.041 (3.595, 4.487)",0.513,
